As:1,As:2,As:3,As:4,As:5,As:5_availability,As:6,As:6_availability,Assignment_Total,Qz:1,Qz:2,Qz:3,Qz:4,Qz:5,Qz:6,Qz:7,Qz:7_availability,Qz:8,Qz:8_availability,Quiz_Total,SI:1,SI:2,SI:2_availability,SI:3,SI:3_availability,SI_Total,SII:1,SII:2,SII:2_availability,SII:3,SII:3_availability,SII_Total,Project_availability,Project_Total,Final:1,Final:2,Final:2_availability,Final:3,Final:3_availability,Final:4,Final:4_availability,Final:5,Final:5_availability,Final_Total
2.58,1.92,2.44,2.88,0.0,0.0,0.0,0.0,9.82,1.4,0.0,0.88,1.0,1.0,1.8,0.0,0.0,0.0,0.0,6.08,5.0,0.5,1.0,2.75,1.0,8.25,3.82,0.27,1.0,4.63,1.0,8.72,0.0,0.0,15.16,4.05,1.0,5.58,1.0,6.2,1.0,4.05,1.0,35.04
2.0,0.0,2.76,2.76,0.0,0.0,0.0,0.0,7.52,1.0,0.2,1.12,0.6,0.7,0.8,0.0,0.0,0.0,0.0,4.42,4.38,0.25,1.0,3.25,1.0,7.88,3.27,2.32,1.0,4.63,1.0,10.22,0.0,0.0,14.75,7.29,1.0,5.58,1.0,3.72,1.0,3.36,1.0,34.7
0.86,0.0,2.08,1.5,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.62,0.4,0.1,0.8,0.0,0.0,0.0,0.0,1.92,1.25,0.0,1.0,2.5,1.0,3.75,1.36,0.68,1.0,3.95,1.0,5.99,0.0,0.0,9.83,3.24,1.0,0.83,1.0,0.0,1.0,0.81,1.0,14.71
1.97,0.0,3.02,2.28,0.0,0.0,0.0,0.0,7.27,1.1,1.4,0.5,0.6,0.8,0.6,0.0,0.0,0.0,0.0,5.0,5.0,0.25,1.0,3.5,1.0,8.75,3.27,2.18,1.0,3.27,1.0,8.72,0.0,0.0,14.75,2.02,1.0,6.2,1.0,3.51,1.0,4.05,1.0,30.53
1.04,1.87,2.21,2.72,0.0,0.0,0.0,0.0,7.84,1.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,1.25,0.0,1.0,0.0,1.0,1.25,0.82,0.82,1.0,0.82,1.0,2.46,0.0,0.0,11.88,4.05,1.0,1.65,1.0,0.62,1.0,1.01,1.0,19.21
1.2,2.74,2.63,2.88,0.0,0.0,0.0,0.0,9.45,1.4,1.2,1.12,1.6,1.5,0.2,0.0,0.0,0.0,0.0,7.02,5.0,3.0,1.0,3.0,1.0,11.0,4.63,2.59,1.0,5.45,1.0,12.67,0.0,0.0,15.98,6.48,1.0,5.37,1.0,5.37,1.0,6.07,1.0,39.27
1.5,1.81,2.6,2.88,0.0,0.0,0.0,0.0,8.79,0.0,0.0,1.25,0.0,0.34,0.4,0.0,0.0,0.0,0.0,1.99,3.0,0.25,1.0,3.25,1.0,6.5,4.09,0.27,1.0,4.36,1.0,8.72,0.0,0.0,11.06,7.69,1.0,4.55,1.0,2.69,1.0,4.05,1.0,30.04
1.3,0.0,1.79,2.52,0.0,0.0,0.0,0.0,5.61,1.0,1.2,0.5,1.0,0.0,1.6,0.0,0.0,0.0,0.0,5.3,4.0,0.25,1.0,3.0,1.0,7.25,4.36,0.0,1.0,2.86,1.0,7.22,0.0,0.0,12.29,4.86,1.0,3.1,1.0,0.62,1.0,1.21,1.0,22.08
1.71,2.33,1.33,1.14,0.0,0.0,0.0,0.0,6.51,1.0,0.2,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,4.75,0.5,1.0,4.0,1.0,9.25,2.18,0.55,1.0,2.18,1.0,4.91,0.0,0.0,7.79,4.05,1.0,0.0,1.0,0.52,1.0,0.0,1.0,12.36
1.62,2.57,2.66,2.97,0.0,0.0,0.0,0.0,9.82,0.0,0.0,1.12,0.0,0.34,0.67,0.0,0.0,0.0,0.0,2.13,1.75,0.0,1.0,3.0,1.0,4.75,2.72,0.0,1.0,1.36,1.0,4.08,0.0,0.0,7.79,2.43,1.0,0.83,1.0,0.41,1.0,1.01,1.0,12.47
2.0,2.6,3.02,3.01,0.0,0.0,0.0,0.0,10.63,0.9,0.0,1.25,1.4,0.3,0.2,0.0,0.0,0.0,0.0,4.05,3.5,0.75,1.0,3.5,1.0,7.75,1.36,2.59,1.0,2.04,1.0,5.99,0.0,0.0,15.57,5.67,1.0,4.13,1.0,4.75,1.0,2.83,1.0,32.95
1.98,1.9,0.98,2.4,0.0,0.0,0.0,0.0,7.26,1.1,0.0,1.0,1.0,0.4,0.3,0.0,0.0,0.0,0.0,3.8,3.5,0.0,1.0,3.25,1.0,6.75,4.36,0.0,1.0,3.95,1.0,8.31,0.0,0.0,8.4,3.24,1.0,3.31,1.0,0.62,1.0,1.21,1.0,16.78
1.79,2.65,1.46,2.68,0.0,0.0,0.0,0.0,8.58,1.0,0.0,0.88,1.6,0.1,1.0,0.0,0.0,0.0,0.0,4.58,3.5,0.5,1.0,3.75,1.0,7.75,4.36,1.23,1.0,5.45,1.0,11.04,0.0,0.0,13.11,5.67,1.0,3.51,1.0,3.72,1.0,2.02,1.0,28.03
1.79,2.52,2.14,0.0,0.0,0.0,0.0,0.0,6.45,1.6,0.4,0.88,0.8,0.3,0.6,0.0,0.0,0.0,0.0,4.58,3.0,0.25,1.0,4.5,1.0,7.75,3.82,0.27,1.0,5.31,1.0,9.4,0.0,0.0,14.75,8.1,1.0,4.96,1.0,1.03,1.0,2.63,1.0,31.47
1.22,0.0,1.69,2.32,0.0,0.0,0.0,0.0,5.23,0.0,0.0,0.38,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.68,2.5,0.0,1.0,2.0,1.0,4.5,1.91,0.0,1.0,0.55,1.0,2.46,0.0,0.0,4.1,0.4,1.0,1.03,1.0,0.52,1.0,0.0,1.0,6.05
2.1,2.14,2.24,2.76,0.0,0.0,0.0,0.0,9.24,2.0,0.0,1.0,0.0,0.4,1.4,0.0,0.0,0.0,0.0,4.8,4.5,0.12,1.0,3.0,1.0,7.62,3.0,0.27,1.0,4.9,1.0,8.17,0.0,0.0,15.16,3.64,1.0,3.1,1.0,0.83,1.0,2.02,1.0,24.75
1.6,2.36,2.11,0.0,0.0,0.0,0.0,0.0,6.07,1.0,0.0,0.88,1.0,0.1,0.9,0.0,0.0,0.0,0.0,3.88,1.75,0.25,1.0,3.5,1.0,5.5,2.18,0.14,1.0,1.09,1.0,3.41,0.0,0.0,7.58,6.07,1.0,3.72,1.0,0.83,1.0,1.42,1.0,19.62
1.4,1.95,0.0,2.32,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.75,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.65,2.75,0.25,1.0,2.5,1.0,5.5,1.09,0.55,1.0,2.59,1.0,4.23,0.0,0.0,11.06,4.05,1.0,3.1,1.0,1.03,1.0,1.62,1.0,20.86
1.28,1.83,0.0,0.0,0.0,0.0,0.0,0.0,3.11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.5,1.0,4.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.48,3.64,1.0,0.0,1.0,0.0,1.0,0.0,1.0,7.12
2.36,2.44,2.66,2.92,0.0,0.0,0.0,0.0,10.38,2.0,1.2,0.38,1.6,0.5,1.0,0.0,0.0,0.0,0.0,6.68,2.25,1.0,1.0,4.0,1.0,7.25,3.82,2.73,1.0,3.95,1.0,10.5,0.0,0.0,15.16,4.46,1.0,5.17,1.0,2.48,1.0,3.04,1.0,30.31
0.0,1.83,2.08,2.03,0.0,0.0,0.0,0.0,5.94,1.0,0.0,0.38,0.0,0.34,0.67,0.0,0.0,0.0,0.0,2.39,4.0,0.12,1.0,3.25,1.0,7.37,1.91,0.0,1.0,0.82,1.0,2.73,0.0,0.0,6.35,3.64,1.0,0.0,1.0,0.41,1.0,0.0,1.0,10.4
2.29,2.49,2.37,2.48,0.0,0.0,0.0,0.0,9.63,0.3,1.4,0.75,0.0,0.2,0.8,0.0,0.0,0.0,0.0,3.45,4.5,0.5,1.0,3.25,1.0,8.25,4.63,0.55,1.0,1.91,1.0,7.09,0.0,0.0,14.34,2.83,1.0,5.79,1.0,2.07,1.0,3.24,1.0,28.27
1.35,0.0,2.86,2.92,0.0,0.0,0.0,0.0,7.13,1.2,0.4,0.75,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2.95,4.88,0.5,1.0,3.25,1.0,8.63,3.27,0.82,1.0,1.5,1.0,5.59,0.0,0.0,14.75,2.02,1.0,3.93,1.0,1.86,1.0,0.61,1.0,23.17
1.04,2.6,2.5,2.68,0.0,0.0,0.0,0.0,8.82,0.0,0.0,0.88,1.2,0.5,0.67,0.0,0.0,0.0,0.0,3.25,4.25,0.12,1.0,2.75,1.0,7.12,3.54,0.27,1.0,4.36,1.0,8.17,0.0,0.0,13.52,2.43,1.0,5.58,1.0,0.83,1.0,1.82,1.0,24.18
1.41,0.0,2.44,2.88,0.0,0.0,0.0,0.0,6.73,0.0,0.4,0.38,0.4,0.1,0.8,0.0,0.0,0.0,0.0,2.08,3.5,0.5,1.0,2.5,1.0,6.5,3.27,0.41,1.0,4.09,1.0,7.77,0.0,0.0,10.86,3.24,1.0,3.31,1.0,3.1,1.0,3.04,1.0,23.55
